Player,Pos.,Date of birth,Caps,Goals,Club,Country
Vladimir Gabulov,GK,19 October 1983,10,0,Club Brugge,Russia
Aleksandr Yerokhin,MF,13 October 1989,17,0,Zenit Saint Petersburg,Russia
Artem Dzyuba,FW,22 August 1988,23,11,Arsenal Tula,Russia
Igor Smolnikov,DF,8 August 1988,27,0,Zenit Saint Petersburg,Russia
Abdullah Al-Mayouf,GK,23 January 1987,11,0,Al-Hilal,Saudi Arabia
Mansoor Al-Harbi,DF,19 October 1987,40,1,Al-Ahli,Saudi Arabia
Osama Hawsawi (captain),DF,31 March 1984,135,7,Al-Hilal,Saudi Arabia
Ali Al-Bulaihi,DF,21 November 1989,4,0,Al-Hilal,Saudi Arabia
Omar Hawsawi,DF,27 September 1985,42,3,Al-Nassr,Saudi Arabia
Mohammed Al-Breik,DF,15 September 1992,11,1,Al-Hilal,Saudi Arabia
Salman Al-Faraj,MF,1 August 1989,43,3,Al-Hilal,Saudi Arabia
Yahya Al-Shehri,MF,26 June 1990,57,8,Leganés,Saudi Arabia
Hattan Bahebri,MF,16 July 1992,5,0,Al-Shabab,Saudi Arabia
Mohammad Al-Sahlawi,FW,10 January 1987,40,28,Al-Nassr,Saudi Arabia
Abdulmalek Al-Khaibri,MF,13 March 1986,36,0,Al-Hilal,Saudi Arabia
Mohamed Kanno,MF,22 September 1994,6,1,Al-Hilal,Saudi Arabia
Yasser Al-Shahrani,DF,25 May 1992,37,0,Al-Hilal,Saudi Arabia
Abdullah Otayf,MF,3 August 1992,16,1,Al-Hilal,Saudi Arabia
Abdullah Al-Khaibari,MF,16 August 1996,5,0,Al-Shabab,Saudi Arabia
Housain Al-Mogahwi,MF,24 March 1988,18,1,Al-Ahli,Saudi Arabia
Taisir Al-Jassim,MF,25 July 1984,132,19,Al-Ahli,Saudi Arabia
Salem Al-Dawsari,MF,19 August 1991,33,4,Villarreal,Saudi Arabia
Fahad Al-Muwallad,FW,14 September 1994,45,10,Levante,Saudi Arabia
Muhannad Assiri,FW,14 October 1986,18,4,Al-Ahli,Saudi Arabia
Yasser Al-Mosailem,GK,27 February 1984,32,0,Al-Ahli,Saudi Arabia
Mohammed Al-Owais,GK,10 October 1991,6,0,Al-Ahli,Saudi Arabia
Motaz Hawsawi,DF,17 February 1992,17,0,Al-Ahli,Saudi Arabia
Fernando Muslera,GK,16 June 1986,97,0,Galatasaray,Uruguay
José Giménez,DF,20 January 1995,42,5,Atlético Madrid,Uruguay
Diego Godín (captain),DF,16 February 1986,116,8,Atlético Madrid,Uruguay
Guillermo Varela,DF,24 March 1993,3,0,Peñarol,Uruguay
Carlos Sánchez,MF,2 December 1984,36,1,Monterrey,Uruguay
Rodrigo Bentancur,MF,25 June 1997,7,0,Juventus,Uruguay
Cristian Rodríguez,MF,30 September 1985,105,11,Peñarol,Uruguay
Nahitan Nández,MF,28 December 1995,12,0,Boca Juniors,Uruguay
Luis Suárez,FW,24 January 1987,98,51,Barcelona,Uruguay
Giorgian De Arrascaeta,FW,1 June 1994,14,2,Cruzeiro,Uruguay
Cristhian Stuani,FW,12 October 1986,41,5,Girona,Uruguay
Martín Campaña,GK,29 May 1989,1,0,Independiente,Uruguay
Gastón Silva,DF,5 March 1994,17,0,Independiente,Uruguay
Lucas Torreira,MF,11 February 1996,3,0,Sampdoria,Uruguay
Matías Vecino,MF,24 August 1991,22,1,Inter Milan,Uruguay
Maxi Pereira,DF,8 June 1984,125,3,Porto,Uruguay
Diego Laxalt,MF,7 February 1993,6,0,Genoa,Uruguay
Maxi Gómez,FW,14 August 1996,5,0,Celta Vigo,Uruguay
Sebastián Coates,DF,7 October 1990,30,1,Sporting CP,Uruguay
Jonathan Urretaviscaya,FW,19 March 1990,4,0,Monterrey,Uruguay
Edinson Cavani,FW,14 February 1987,101,42,Paris Saint-Germain,Uruguay
Martín Cáceres,DF,7 April 1987,76,4,Lazio,Uruguay
Martín Silva,GK,25 March 1983,11,0,Vasco da Gama,Uruguay
Alireza Beiranvand,GK,21 September 1992,22,0,Persepolis,Iran
Mehdi Torabi,MF,10 September 1994,17,4,Saipa,Iran
Ehsan Hajsafi,DF,25 February 1990,94,6,Olympiacos,Iran
Rouzbeh Cheshmi,DF,24 July 1993,10,1,Esteghlal,Iran
Milad Mohammadi,DF,29 September 1993,19,0,Akhmat Grozny,Iran
Saeid Ezatolahi,MF,1 October 1996,25,1,Amkar Perm,Iran
Masoud Shojaei (captain),MF,9 June 1984,74,8,AEK Athens,Iran
Morteza Pouraliganji,DF,19 April 1992,27,2,Al-Sadd,Iran
Omid Ebrahimi,MF,16 September 1987,30,0,Esteghlal,Iran
Karim Ansarifard,FW,3 April 1990,64,17,Olympiacos,Iran
Vahid Amiri,MF,2 April 1988,36,1,Persepolis,Iran
Mohammad Rashid Mazaheri,GK,18 May 1989,3,0,Zob Ahan,Iran
Mohammad Reza Khanzadeh,DF,11 May 1991,11,1,Padideh,Iran
Saman Ghoddos,FW,6 September 1993,8,1,Östersund,Iran
Pejman Montazeri,DF,6 September 1983,46,1,Esteghlal,Iran
Reza Ghoochannejhad,FW,20 September 1987,43,17,Heerenveen,Iran
Mehdi Taremi,FW,18 July 1992,26,11,Al-Gharafa,Iran
Alireza Jahanbakhsh,FW,11 August 1993,38,4,AZ,Iran
Majid Hosseini,DF,20 June 1996,1,0,Esteghlal,Iran
Sardar Azmoun,FW,1 January 1995,33,23,Rubin Kazan,Iran
Ashkan Dejagah,FW,5 July 1986,46,9,Nottingham Forest,Iran
Amir Abedzadeh,GK,26 April 1993,1,0,Marítimo,Iran
Ramin Rezaeian,DF,21 March 1990,28,2,Oostende,Iran
Yassine Bounou,GK,5 April 1991,11,0,Girona,Morocco
Achraf Hakimi,DF,4 November 1998,9,1,Real Madrid,Morocco
Hamza Mendyl,DF,21 October 1997,13,0,Lille,Morocco
Manuel da Costa,DF,6 May 1986,27,1,İstanbul Başakşehir,Morocco
Medhi Benatia (captain),DF,17 April 1987,56,2,Juventus,Morocco
Romain Saïss,DF,26 March 1990,23,1,Wolverhampton Wanderers,Morocco
Hakim Ziyech,MF,19 March 1993,17,8,Ajax,Morocco
Karim El Ahmadi,MF,27 January 1985,50,1,Feyenoord,Morocco
Ayoub El Kaabi,FW,25 June 1993,9,11,RS Berkane,Morocco
Younès Belhanda,MF,25 February 1990,46,4,Galatasaray,Morocco
Fayçal Fajr,MF,1 August 1988,23,2,Getafe,Morocco
Munir Mohamedi,GK,10 May 1989,26,0,Numancia,Morocco
Khalid Boutaïb,FW,24 April 1987,17,7,Yeni Malatyaspor,Morocco
Mbark Boussoufa,MF,15 August 1984,58,7,Al-Jazira,Morocco
Youssef Aït Bennasser,MF,7 July 1996,13,0,Caen,Morocco
Nordin Amrabat,MF,31 March 1987,43,4,Leganés,Morocco
Nabil Dirar,DF,25 February 1986,34,3,Fenerbahçe,Morocco
Amine Harit,MF,18 June 1997,5,0,Schalke 04,Morocco
Youssef En-Nesyri,FW,1 June 1997,15,1,Málaga,Morocco
Aziz Bouhaddouz,FW,30 March 1987,14,3,FC St. Pauli,Morocco
Sofyan Amrabat,MF,21 August 1996,5,0,Feyenoord,Morocco
Ahmed Reda Tagnaouti,GK,5 April 1996,2,0,IR Tanger,Morocco
Mehdi Carcela,MF,1 July 1989,20,1,Standard Liège,Morocco
Rui Patrício,GK,15 February 1988,69,0,Sporting CP,Portugal
Bruno Alves,DF,27 November 1981,96,11,Rangers,Portugal
Pepe,DF,26 February 1983,95,5,Beşiktaş,Portugal
Manuel Fernandes,MF,5 February 1986,14,3,Lokomotiv Moscow,Portugal
Raphaël Guerreiro,DF,22 December 1993,24,2,Borussia Dortmund,Portugal
José Fonte,DF,22 December 1983,31,0,Dalian Yifang,Portugal
Cristiano Ronaldo (captain),FW,5 February 1985,150,81,Real Madrid,Portugal
João Moutinho,MF,8 September 1986,110,7,Monaco,Portugal
André Silva,FW,6 November 1995,23,12,Milan,Portugal
João Mário,MF,19 January 1993,36,2,West Ham United,Portugal
Bernardo Silva,MF,10 August 1994,25,2,Manchester City,Portugal
Anthony Lopes,GK,1 October 1990,7,0,Lyon,Portugal
Rúben Dias,DF,14 May 1997,1,0,Benfica,Portugal
William Carvalho,MF,7 April 1992,43,2,Sporting CP,Portugal
Ricardo Pereira,DF,6 October 1993,4,0,Porto,Portugal
Bruno Fernandes,MF,8 September 1994,6,1,Sporting CP,Portugal
Gonçalo Guedes,FW,29 November 1996,10,3,Valencia,Portugal
Gelson Martins,FW,11 May 1995,18,0,Sporting CP,Portugal
Mário Rui,DF,27 May 1991,4,0,Napoli,Portugal
Ricardo Quaresma,FW,26 September 1983,77,9,Beşiktaş,Portugal
Cédric,DF,31 August 1991,29,1,Southampton,Portugal
Beto,GK,1 May 1982,14,0,Göztepe,Portugal
Adrien Silva,MF,15 March 1989,23,1,Leicester City,Portugal
David de Gea,GK,7 November 1990,28,0,Manchester United,Spain
Dani Carvajal,DF,11 January 1992,15,0,Real Madrid,Spain
Gerard Piqué,DF,2 February 1987,97,5,Barcelona,Spain
Nacho,DF,18 January 1990,16,0,Real Madrid,Spain
Sergio Busquets,MF,16 July 1988,102,2,Barcelona,Spain
Andrés Iniesta,MF,11 May 1984,126,14,Barcelona,Spain
Saúl,MF,21 November 1994,10,0,Atlético Madrid,Spain
Koke,MF,8 January 1992,39,0,Atlético Madrid,Spain
Rodrigo,FW,6 March 1991,5,2,Valencia,Spain
Thiago,MF,11 April 1991,28,2,Bayern Munich,Spain
Lucas Vázquez,FW,1 July 1991,6,0,Real Madrid,Spain
Álvaro Odriozola,DF,14 December 1995,3,1,Real Sociedad,Spain
Kepa Arrizabalaga,GK,3 October 1994,1,0,Athletic Bilbao,Spain
César Azpilicueta,DF,28 August 1989,22,0,Chelsea,Spain
Sergio Ramos (captain),DF,30 March 1986,151,13,Real Madrid,Spain
Nacho Monreal,DF,26 February 1986,22,1,Arsenal,Spain
Iago Aspas,FW,1 August 1987,9,4,Celta Vigo,Spain
Jordi Alba,DF,21 March 1989,61,8,Barcelona,Spain
Diego Costa,FW,7 October 1988,19,7,Atlético Madrid,Spain
Marco Asensio,MF,21 January 1996,11,0,Real Madrid,Spain
David Silva,FW,8 January 1986,120,35,Manchester City,Spain
Isco,MF,21 April 1992,27,10,Real Madrid,Spain
Pepe Reina,GK,31 August 1982,36,0,Napoli,Spain
Mathew Ryan,GK,8 April 1992,43,0,Brighton & Hove Albion,Australia
Milos Degenek,DF,28 April 1994,18,0,Yokohama F. Marinos,Australia
James Meredith,DF,5 April 1988,2,0,Millwall,Australia
Tim Cahill,FW,6 December 1979,105,50,Millwall,Australia
Mark Milligan,DF,4 August 1985,70,6,Al-Ahli,Australia
Matthew Jurman,DF,8 December 1989,4,0,Suwon Samsung Bluewings,Australia
Mathew Leckie,FW,4 February 1991,52,8,Hertha BSC,Australia
Massimo Luongo,MF,25 September 1992,35,5,Queens Park Rangers,Australia
Tomi Juric,FW,22 July 1991,34,8,Luzern,Australia
Robbie Kruse,FW,5 October 1988,63,5,VfL Bochum,Australia
Andrew Nabbout,FW,17 December 1992,3,1,Urawa Red Diamonds,Australia
Brad Jones,GK,19 March 1982,5,0,Feyenoord,Australia
Aaron Mooy,MF,15 September 1990,33,5,Huddersfield Town,Australia
Jamie Maclaren,FW,29 July 1993,6,0,Hibernian,Australia
Mile Jedinak (captain),MF,3 August 1984,75,18,Aston Villa,Australia
Aziz Behich,DF,16 December 1990,22,2,Bursaspor,Australia
Daniel Arzani,FW,4 January 1999,1,0,Melbourne City,Australia
Danny Vukovic,GK,27 March 1985,1,0,Genk,Australia
Josh Risdon,DF,27 July 1992,7,0,Western Sydney Wanderers,Australia
Trent Sainsbury,DF,5 January 1992,34,3,Grasshoppers,Australia
Dimitri Petratos,FW,10 November 1992,2,0,Newcastle Jets,Australia
Jackson Irvine,MF,7 March 1993,18,2,Hull City,Australia
Tom Rogic,MF,16 December 1992,36,7,Celtic,Australia
Kasper Schmeichel,GK,5 November 1986,34,0,Leicester City,Denmark
Michael Krohn-Dehli,MF,6 June 1983,58,6,Deportivo La Coruña,Denmark
Jannik Vestergaard,DF,3 August 1992,16,1,Borussia Mönchengladbach,Denmark
Simon Kjær (captain),DF,26 March 1989,77,3,Sevilla,Denmark
Jonas Knudsen,DF,16 September 1992,3,0,Ipswich Town,Denmark
Andreas Christensen,DF,10 April 1996,15,1,Chelsea,Denmark
William Kvist,MF,24 February 1985,79,2,Copenhagen,Denmark
Thomas Delaney,MF,3 September 1991,26,4,Werder Bremen,Denmark
Nicolai Jørgensen,FW,15 January 1991,30,8,Feyenoord,Denmark
Christian Eriksen,MF,14 February 1992,77,21,Tottenham Hotspur,Denmark
Martin Braithwaite,FW,5 June 1991,19,1,Bordeaux,Denmark
Kasper Dolberg,FW,6 October 1997,5,1,Ajax,Denmark
Mathias Jørgensen,DF,23 April 1990,12,0,Huddersfield Town,Denmark
Henrik Dalsgaard,DF,27 July 1989,10,0,Brentford,Denmark
Viktor Fischer,FW,9 June 1994,18,3,Copenhagen,Denmark
Jonas Lössl,GK,1 February 1989,1,0,Huddersfield Town,Denmark
Jens Stryger Larsen,DF,21 February 1991,12,1,Udinese,Denmark
Lukas Lerager,MF,12 July 1993,3,0,Bordeaux,Denmark
Lasse Schöne,MF,27 May 1986,35,3,Ajax,Denmark
Yussuf Poulsen,FW,15 June 1994,27,3,RB Leipzig,Denmark
Andreas Cornelius,FW,16 March 1993,18,4,Atalanta,Denmark
Frederik Rønnow,GK,4 August 1992,6,0,Brøndby,Denmark
Pione Sisto,FW,4 February 1995,13,1,Celta Vigo,Denmark
Hugo Lloris (captain),GK,26 December 1986,97,0,Tottenham Hotspur,France
Benjamin Pavard,DF,28 March 1996,5,0,VfB Stuttgart,France
Presnel Kimpembe,DF,13 August 1995,2,0,Paris Saint-Germain,France
Raphaël Varane,DF,25 April 1993,41,2,Real Madrid,France
Samuel Umtiti,DF,14 November 1993,18,2,Barcelona,France
Paul Pogba,MF,15 March 1993,53,9,Manchester United,France
Antoine Griezmann,FW,21 March 1991,53,20,Atlético Madrid,France
Thomas Lemar,FW,12 November 1995,11,3,Monaco,France
Olivier Giroud,FW,30 September 1986,73,31,Chelsea,France
Kylian Mbappé,FW,20 December 1998,14,3,Paris Saint-Germain,France
Ousmane Dembélé,FW,15 May 1997,11,2,Barcelona,France
Corentin Tolisso,MF,3 August 1994,8,0,Bayern Munich,France
N'Golo Kanté,MF,29 March 1991,23,1,Chelsea,France
Blaise Matuidi,MF,9 April 1987,66,9,Juventus,France
Steven Nzonzi,MF,15 December 1988,4,0,Sevilla,France
Steve Mandanda,GK,28 March 1985,27,0,Marseille,France
Adil Rami,DF,27 December 1985,35,1,Marseille,France
Nabil Fekir,FW,18 July 1993,11,2,Lyon,France
Djibril Sidibé,DF,29 July 1992,16,1,Monaco,France
Florian Thauvin,FW,26 January 1993,4,0,Marseille,France
Lucas Hernández,DF,14 February 1996,4,0,Atlético Madrid,France
Benjamin Mendy,DF,17 July 1994,6,0,Manchester City,France
Alphonse Areola,GK,27 February 1993,0,0,Paris Saint-Germain,France
Pedro Gallese,GK,23 February 1990,37,0,Veracruz,Peru
Alberto Rodríguez,DF,31 March 1984,58,0,Atlético Junior,Peru
Aldo Corzo,DF,20 May 1989,25,0,Universitario,Peru
Anderson Santamaría,DF,10 January 1992,3,0,Puebla,Peru
Miguel Araujo,DF,24 October 1994,7,0,Alianza Lima,Peru
Miguel Trauco,DF,25 August 1992,26,0,Flamengo,Peru
Paolo Hurtado,MF,27 July 1990,31,3,Vitória de Guimarães,Peru
Christian Cueva,MF,23 November 1991,43,8,São Paulo,Peru
Paolo Guerrero (captain),FW,1 January 1984,87,34,Flamengo,Peru
Jefferson Farfán,FW,26 October 1984,83,25,Lokomotiv Moscow,Peru
Raúl Ruidíaz,FW,25 July 1990,30,4,Morelia,Peru
Carlos Cáceda,GK,27 September 1991,4,0,Deportivo Municipal,Peru
Renato Tapia,MF,28 July 1995,22,1,Feyenoord,Peru
Andy Polo,MF,29 September 1994,16,1,Portland Timbers,Peru
Christian Ramos,DF,4 November 1988,65,3,Veracruz,Peru
Wilder Cartagena,MF,23 September 1994,3,0,Veracruz,Peru
Luis Advíncula,DF,2 March 1990,64,0,Lobos BUAP,Peru
André Carrillo,FW,14 June 1991,44,5,Watford,Peru
Yoshimar Yotún,MF,7 April 1990,72,2,Orlando City,Peru
Edison Flores,FW,14 May 1994,28,9,AaB,Peru
José Carvallo,GK,1 March 1986,6,0,UTC,Peru
Nilson Loyola,DF,26 October 1994,3,0,Melgar,Peru
Pedro Aquino,MF,13 April 1995,12,0,Lobos BUAP,Peru
Nahuel Guzmán,GK,10 February 1986,6,0,UANL,Argentina
Gabriel Mercado,DF,18 March 1987,20,3,Sevilla,Argentina
Nicolás Tagliafico,DF,31 August 1992,4,0,Ajax,Argentina
Cristian Ansaldi,DF,20 September 1986,5,0,Torino,Argentina
Lucas Biglia,MF,30 January 1986,57,1,Milan,Argentina
Federico Fazio,DF,17 March 1987,9,1,Roma,Argentina
Éver Banega,MF,29 June 1988,62,6,Sevilla,Argentina
Marcos Acuña,DF,28 October 1991,10,0,Sporting CP,Argentina
Gonzalo Higuaín,FW,10 December 1987,71,31,Juventus,Argentina
Lionel Messi (captain),FW,24 June 1987,124,64,Barcelona,Argentina
Ángel Di María,MF,14 February 1988,94,19,Paris Saint-Germain,Argentina
Franco Armani,GK,16 October 1986,0,0,River Plate,Argentina
Maximiliano Meza,MF,15 December 1992,2,0,Independiente,Argentina
Javier Mascherano,DF,8 June 1984,143,3,Hebei China Fortune,Argentina
Manuel Lanzini,MF,15 February 1993,4,1,West Ham United,Argentina
Marcos Rojo,DF,20 March 1990,56,2,Manchester United,Argentina
Nicolás Otamendi,DF,12 February 1988,54,4,Manchester City,Argentina
Eduardo Salvio,DF,13 July 1990,9,0,Benfica,Argentina
Sergio Agüero,FW,2 June 1988,85,37,Manchester City,Argentina
Giovani Lo Celso,MF,9 April 1996,5,0,Paris Saint-Germain,Argentina
Paulo Dybala,FW,15 November 1993,12,0,Juventus,Argentina
Cristian Pavón,MF,21 January 1996,5,0,Boca Juniors,Argentina
Willy Caballero,GK,28 September 1981,3,0,Chelsea,Argentina
Dominik Livaković,GK,9 January 1995,1,0,Dinamo Zagreb,Croatia
Šime Vrsaljko,DF,10 January 1992,35,0,Atlético Madrid,Croatia
Ivan Strinić,DF,17 July 1987,43,0,Sampdoria,Croatia
Ivan Perišić,FW,2 February 1989,66,18,Inter Milan,Croatia
Vedran Ćorluka,DF,5 February 1986,99,4,Lokomotiv Moscow,Croatia
Dejan Lovren,DF,5 July 1989,39,2,Liverpool,Croatia
Ivan Rakitić,MF,10 March 1988,92,14,Barcelona,Croatia
Mateo Kovačić,MF,6 May 1994,41,1,Real Madrid,Croatia
Andrej Kramarić,FW,19 June 1991,31,9,1899 Hoffenheim,Croatia
Luka Modrić (captain),MF,9 September 1985,106,12,Real Madrid,Croatia
Marcelo Brozović,MF,16 November 1992,35,6,Inter Milan,Croatia
Lovre Kalinić,GK,3 April 1990,11,0,Gent,Croatia
Tin Jedvaj,DF,28 November 1995,12,0,Bayer Leverkusen,Croatia
Filip Bradarić,MF,11 January 1992,4,0,Rijeka,Croatia
Duje Ćaleta-Car,DF,17 September 1996,1,0,Red Bull Salzburg,Croatia
Nikola Kalinić,FW,5 January 1988,42,15,Milan,Croatia
Mario Mandžukić,FW,21 May 1986,83,30,Juventus,Croatia
Ante Rebić,FW,21 September 1993,16,1,Eintracht Frankfurt,Croatia
Milan Badelj,MF,25 February 1989,38,1,Fiorentina,Croatia
Marko Pjaca,FW,6 May 1995,16,1,Schalke 04,Croatia
Domagoj Vida,DF,29 April 1989,59,2,Beşiktaş,Croatia
Josip Pivarić,DF,30 January 1989,19,0,Dynamo Kyiv,Croatia
Danijel Subašić,GK,27 October 1984,38,0,Monaco,Croatia
Hannes Þór Halldórsson,GK,27 April 1984,49,0,Randers,Iceland
Birkir Már Sævarsson,DF,11 November 1984,79,1,Valur,Iceland
Samúel Friðjónsson,MF,22 February 1996,4,0,Vålerenga,Iceland
Albert Guðmundsson,MF,15 June 1997,5,3,PSV Eindhoven,Iceland
Sverrir Ingi Ingason,DF,5 August 1993,20,3,Rostov,Iceland
Ragnar Sigurðsson,DF,19 June 1986,77,3,Rostov,Iceland
Jóhann Berg Guðmundsson,MF,27 October 1990,67,7,Burnley,Iceland
Birkir Bjarnason,MF,27 May 1988,67,9,Aston Villa,Iceland
Björn Bergmann Sigurðarson,FW,26 February 1991,12,1,Rostov,Iceland
Gylfi Sigurðsson,MF,8 September 1989,57,19,Everton,Iceland
Alfreð Finnbogason,FW,1 February 1989,47,13,FC Augsburg,Iceland
Frederik Schram,GK,19 January 1995,4,0,Roskilde,Iceland
Rúnar Alex Rúnarsson,GK,18 February 1995,3,0,Nordsjælland,Iceland
Kári Árnason,DF,13 October 1982,67,5,Aberdeen,Iceland
Hólmar Örn Eyjólfsson,DF,6 August 1990,10,1,Levski Sofia,Iceland
Ólafur Ingi Skúlason,MF,1 April 1983,36,1,Kardemir Karabükspor,Iceland
Aron Gunnarsson (captain),MF,22 April 1989,77,2,Cardiff City,Iceland
Hörður Björgvin Magnússon,DF,11 February 1993,16,2,Bristol City,Iceland
Rúrik Gíslason,MF,25 February 1988,47,3,SV Sandhausen,Iceland
Emil Hallfreðsson,MF,29 June 1984,64,1,Udinese,Iceland
Arnór Ingvi Traustason,MF,30 April 1993,19,5,Malmö,Iceland
Jón Daði Böðvarsson,FW,25 May 1992,38,2,Reading,Iceland
Ari Freyr Skúlason,DF,14 May 1987,56,0,Lokeren,Iceland
Ikechukwu Ezenwa,GK,16 October 1988,24,0,Enyimba,Nigeria
Brian Idowu,DF,18 May 1992,5,1,Amkar Perm,Nigeria
Elderson Echiéjilé,DF,20 January 1988,62,3,Cercle Brugge,Nigeria
Wilfred Ndidi,MF,16 December 1996,17,0,Leicester City,Nigeria
William Troost-Ekong,DF,1 September 1993,22,1,Bursaspor,Nigeria
Leon Balogun,DF,28 June 1988,19,0,Mainz 05,Nigeria
Ahmed Musa,FW,14 October 1992,72,13,CSKA Moscow,Nigeria
Oghenekaro Etebo,MF,9 November 1995,14,1,Las Palmas,Nigeria
Odion Ighalo,FW,16 June 1989,19,4,Changchun Yatai,Nigeria
John Obi Mikel (captain),MF,22 April 1987,85,6,Tianjin TEDA,Nigeria
Victor Moses,FW,12 December 1990,34,11,Chelsea,Nigeria
Shehu Abdullahi,DF,12 March 1993,25,0,Bursaspor,Nigeria
Simeon Nwankwo,FW,7 May 1992,2,0,Crotone,Nigeria
Kelechi Iheanacho,FW,10 March 1996,18,8,Leicester City,Nigeria
Joel Obi,MF,22 May 1991,17,0,Torino,Nigeria
Daniel Akpeyi,GK,8 March 1986,7,0,Chippa United,Nigeria
Ogenyi Onazi,MF,25 December 1992,52,1,Trabzonspor,Nigeria
Alex Iwobi,FW,3 May 1996,19,5,Arsenal,Nigeria
John Ogu,MF,20 April 1988,20,2,Hapoel Be'er Sheva,Nigeria
Chidozie Awaziem,DF,1 January 1997,4,0,Nantes,Nigeria
Tyronne Ebuehi,DF,16 December 1995,7,0,ADO Den Haag,Nigeria
Kenneth Omeruo,DF,17 October 1993,39,0,Kasımpaşa,Nigeria
Francis Uzoho,GK,28 October 1998,6,0,Deportivo La Coruña,Nigeria
Alisson,GK,2 October 1992,25,0,Roma,Brazil
Thiago Silva,DF,22 September 1984,70,5,Paris Saint-Germain,Brazil
Miranda,DF,7 September 1984,46,2,Inter Milan,Brazil
Pedro Geromel,DF,21 September 1985,2,0,Grêmio,Brazil
Casemiro,MF,23 February 1992,23,0,Real Madrid,Brazil
Filipe Luís,DF,9 August 1985,32,2,Atlético Madrid,Brazil
Douglas Costa,FW,14 September 1990,24,3,Juventus,Brazil
Renato Augusto,MF,8 February 1988,28,5,Beijing Sinobo Guoan,Brazil
Gabriel Jesus,FW,3 April 1997,16,9,Manchester City,Brazil
Neymar,FW,5 February 1992,84,54,Paris Saint-Germain,Brazil
Philippe Coutinho,MF,12 June 1992,36,9,Barcelona,Brazil
Marcelo,DF,12 May 1988,53,6,Real Madrid,Brazil
Marquinhos,DF,14 May 1994,25,0,Paris Saint-Germain,Brazil
Danilo,DF,15 July 1991,17,0,Manchester City,Brazil
Paulinho,MF,25 July 1988,49,12,Barcelona,Brazil
Cássio,GK,6 June 1987,1,0,Corinthians,Brazil
Fernandinho,MF,4 May 1985,43,2,Manchester City,Brazil
Fred,MF,5 March 1993,8,0,Shakhtar Donetsk,Brazil
Willian,MF,9 August 1988,56,8,Chelsea,Brazil
